"ID_SUELDO","SUELDO_NETO","ID_PUESTO_TRABAJO","FECHA"
"2699","590000","11","2/25/2025"
"3962","620000","11","2/25/2025"
"2272","650000","11","2/25/2025"
"3817","670000","11","2/25/2025"
"3841","780280","11","2/25/2025"
"1935","800000","11","2/25/2025"
"3582","839742","11","2/25/2025"
"1983","846000","11","2/25/2025"
"3589","860000","11","2/25/2025"
"3040","867400","11","2/25/2025"
"2797","877003","11","2/25/2025"
"2136","879000","11","2/25/2025"
"5085","900000","11","2/25/2025"
"4311","914387","11","2/25/2025"
"2080","926894","11","2/25/2025"
"4428","947000","11","2/25/2025"
"4754","967000","11","2/25/2025"
"3905","970000","11","2/25/2025"
"3499","976560","11","2/25/2025"
"4064","996000","11","2/25/2025"
"2817","996385","11","2/25/2025"
"1981","1000000","11","2/25/2025"
"4636","1000000","11","2/25/2025"
"2219","1000000","11","2/25/2025"
"5121","1016000","11","2/25/2025"
"1996","1022116","11","2/25/2025"
"2796","1027000","11","2/25/2025"
"4250","1049000","11","2/25/2025"
"4728","1050000","11","2/25/2025"
"3244","1060000","11","2/25/2025"
"2801","1070000","11","2/25/2025"
"2329","1070000","11","2/25/2025"
"4808","1079000","11","2/25/2025"
"3123","1080000","11","2/25/2025"
"4784","1100000","11","2/25/2025"
"5297","1100000","11","2/25/2025"
"2255","1100000","11","2/25/2025"
"3000","1120000","11","2/25/2025"
"4333","1145000","11","2/25/2025"
"3070","1150000","11","2/25/2025"
"2632","1150000","11","2/25/2025"
"3231","1150000","11","2/25/2025"
"2450","1162000","11","2/25/2025"
"4987","1162000","11","2/25/2025"
"2901","1180651","11","2/25/2025"
"4507","1187755","11","2/25/2025"
"3348","1193862","11","2/25/2025"
"2102","1200000","11","2/25/2025"
"3669","1200000","11","2/25/2025"
"4745","1200000","11","2/25/2025"
"4181","1200000","11","2/25/2025"
"4494","1200000","11","2/25/2025"
"2039","1200000","11","2/25/2025"
"4383","1202000","11","2/25/2025"
"2781","1207310","11","2/25/2025"
"3109","1218609","11","2/25/2025"
"4714","1223106","11","2/25/2025"
"4907","1224000","11","2/25/2025"
"4480","1231779","11","2/25/2025"
"4595","1250000","11","2/25/2025"
"1998","1250000","11","2/25/2025"
"4079","1250000","11","2/25/2025"
"2401","1255750","11","2/25/2025"
"5114","1260000","11","2/25/2025"
"3338","1276871","11","2/25/2025"
"4176","1280000","11","2/25/2025"
