"id_delito","tipo","uso_arma","barrio"
"32707","Robo","NO","PALERMO"
"32810","Robo","NO","PALERMO"
"32815","Robo","NO","PALERMO"
"32817","Robo","NO","PALERMO"
"32827","Robo","NO","PALERMO"
"32838","Robo","NO","PALERMO"
"32839","Robo","NO","PALERMO"
"34174","Robo","NO","PALERMO"
"34179","Robo","NO","PALERMO"
"34523","Robo","NO","PALERMO"
"34536","Robo","NO","PALERMO"
"34541","Robo","NO","PALERMO"
"34544","Robo","NO","PALERMO"
"34548","Robo","NO","PALERMO"
"34555","Robo","NO","PALERMO"
"34559","Robo","NO","PALERMO"
"34568","Robo","NO","PALERMO"
"34601","Robo","NO","PALERMO"
"34602","Robo","NO","PALERMO"
"34604","Robo","NO","PALERMO"
"34675","Robo","NO","PALERMO"
"34722","Robo","NO","PALERMO"
"34855","Robo","NO","PALERMO"
"34915","Robo","NO","PALERMO"
"34940","Robo","NO","PALERMO"
"34959","Robo","NO","PALERMO"
"34960","Robo","NO","PALERMO"
"34974","Robo","NO","PALERMO"
"34975","Robo","NO","PALERMO"
"34981","Robo","NO","PALERMO"
"34984","Robo","NO","PALERMO"
"35360","Robo","NO","PALERMO"
"35392","Robo","NO","PALERMO"
"35445","Robo","NO","PALERMO"
"35447","Robo","NO","PALERMO"
"35448","Robo","NO","PALERMO"
"35450","Robo","NO","PALERMO"
"35454","Robo","NO","PALERMO"
"35624","Robo","NO","PALERMO"
"35692","Robo","NO","PALERMO"
"35782","Robo","NO","PALERMO"
"35894","Robo","NO","PALERMO"
"35896","Robo","NO","PALERMO"
"35900","Robo","NO","PALERMO"
"35979","Robo","NO","PALERMO"
"36031","Robo","NO","PALERMO"
"36032","Robo","NO","PALERMO"
"36035","Robo","NO","PALERMO"
"36037","Robo","NO","PALERMO"
"36038","Robo","NO","PALERMO"
"36041","Robo","NO","PALERMO"
"37821","Robo","NO","PALERMO"
"38101","Robo","NO","PALERMO"
"38102","Robo","NO","PALERMO"
"38107","Robo","NO","PALERMO"
"38112","Robo","NO","PALERMO"
"38118","Robo","NO","PALERMO"
"38119","Robo","NO","PALERMO"
"38120","Robo","NO","PALERMO"
"38121","Robo","NO","PALERMO"
"38124","Robo","NO","PALERMO"
"38127","Robo","NO","PALERMO"
"38128","Robo","NO","PALERMO"
"38131","Robo","NO","PALERMO"
"38132","Robo","NO","PALERMO"
"38136","Robo","NO","PALERMO"
"38137","Robo","NO","PALERMO"
"38138","Robo","NO","PALERMO"
"38141","Robo","NO","PALERMO"
"38153","Robo","NO","PALERMO"
"38154","Robo","NO","PALERMO"
"38158","Robo","NO","PALERMO"
"38165","Robo","NO","PALERMO"
"38170","Robo","NO","PALERMO"
"38172","Robo","NO","PALERMO"
"38181","Robo","NO","PALERMO"
"38196","Robo","NO","PALERMO"
"38204","Robo","NO","PALERMO"
"38207","Robo","NO","PALERMO"
"38211","Robo","NO","PALERMO"
"38214","Robo","NO","PALERMO"
"38216","Robo","NO","PALERMO"
"38217","Robo","NO","PALERMO"
"38220","Robo","NO","PALERMO"
"38226","Robo","NO","PALERMO"
"38227","Robo","NO","PALERMO"
"38230","Robo","NO","PALERMO"
"39057","Robo","NO","PALERMO"
"39060","Robo","NO","PALERMO"
"39061","Robo","NO","PALERMO"
"39063","Robo","NO","PALERMO"
"39064","Robo","NO","PALERMO"
"39066","Robo","NO","PALERMO"
"39070","Robo","NO","PALERMO"
"39073","Robo","NO","PALERMO"
"39075","Robo","NO","PALERMO"
"39076","Robo","NO","PALERMO"
"39077","Robo","NO","PALERMO"
"39080","Robo","NO","PALERMO"
"39082","Robo","NO","PALERMO"
"39083","Robo","NO","PALERMO"
"39091","Robo","NO","PALERMO"
"39099","Robo","NO","PALERMO"
"39101","Robo","NO","PALERMO"
"39102","Robo","NO","PALERMO"
"39105","Robo","NO","PALERMO"
"39106","Robo","NO","PALERMO"
"39239","Robo","NO","PALERMO"
"43007","Robo","NO","PALERMO"
"43010","Robo","NO","PALERMO"
"43012","Robo","NO","PALERMO"
"43014","Robo","NO","PALERMO"
"43015","Robo","NO","PALERMO"
"43018","Robo","NO","PALERMO"
"43019","Robo","NO","PALERMO"
"43030","Robo","NO","PALERMO"
"43032","Robo","NO","PALERMO"
"43035","Robo","NO","PALERMO"
"43039","Robo","NO","PALERMO"
"43055","Robo","NO","PALERMO"
"43056","Robo","NO","PALERMO"
"43058","Robo","NO","PALERMO"
"43060","Robo","NO","PALERMO"
"43061","Robo","NO","PALERMO"
"43062","Robo","NO","PALERMO"
"43065","Robo","NO","PALERMO"
"43070","Robo","NO","PALERMO"
"43081","Robo","NO","PALERMO"
"43082","Robo","NO","PALERMO"
"43083","Robo","NO","PALERMO"
"43087","Robo","NO","PALERMO"
"43090","Robo","NO","PALERMO"
"43092","Robo","NO","PALERMO"
"43093","Robo","NO","PALERMO"
"43094","Robo","NO","PALERMO"
"43095","Robo","NO","PALERMO"
"43096","Robo","NO","PALERMO"
"43097","Robo","NO","PALERMO"
"43099","Robo","NO","PALERMO"
"43102","Robo","NO","PALERMO"
"43104","Robo","NO","PALERMO"
"43105","Robo","NO","PALERMO"
"43106","Robo","NO","PALERMO"
"43107","Robo","NO","PALERMO"
"43109","Robo","NO","PALERMO"
"43111","Robo","NO","PALERMO"
"43112","Robo","NO","PALERMO"
"43113","Robo","NO","PALERMO"
"43114","Robo","NO","PALERMO"
"43115","Robo","NO","PALERMO"
"43116","Robo","NO","PALERMO"
"43141","Robo","NO","PALERMO"
"43142","Robo","NO","PALERMO"
"43145","Robo","NO","PALERMO"
"43149","Robo","NO","PALERMO"
"43155","Robo","NO","PALERMO"
"43156","Robo","NO","PALERMO"
"43161","Robo","NO","PALERMO"
"43170","Robo","NO","PALERMO"
"43181","Robo","NO","PALERMO"
"43182","Robo","NO","PALERMO"
"43183","Robo","NO","PALERMO"
"43184","Robo","NO","PALERMO"
"43185","Robo","NO","PALERMO"
"43186","Robo","NO","PALERMO"
"43187","Robo","NO","PALERMO"
"43188","Robo","NO","PALERMO"
"43189","Robo","NO","PALERMO"
"43191","Robo","NO","PALERMO"
"43193","Robo","NO","PALERMO"
"43195","Robo","NO","PALERMO"
"43196","Robo","NO","PALERMO"
"43201","Robo","NO","PALERMO"
"43206","Robo","NO","PALERMO"
"43207","Robo","NO","PALERMO"
"43224","Robo","NO","PALERMO"
"43226","Robo","NO","PALERMO"
"43229","Robo","NO","PALERMO"
"43233","Robo","NO","PALERMO"
"43237","Robo","NO","PALERMO"
"43239","Robo","NO","PALERMO"
"43240","Robo","NO","PALERMO"
"43241","Robo","NO","PALERMO"
"43245","Robo","NO","PALERMO"
"43247","Robo","NO","PALERMO"
"43251","Robo","NO","PALERMO"
"43257","Robo","NO","PALERMO"
"43258","Robo","NO","PALERMO"
"43262","Robo","NO","PALERMO"
"43263","Robo","NO","PALERMO"
"43265","Robo","NO","PALERMO"
"43266","Robo","NO","PALERMO"
"43267","Robo","NO","PALERMO"
"43269","Robo","NO","PALERMO"
"43271","Robo","NO","PALERMO"
"43272","Robo","NO","PALERMO"
"43273","Robo","NO","PALERMO"
"43274","Robo","NO","PALERMO"
"43277","Robo","NO","PALERMO"
"43279","Robo","NO","PALERMO"
"43283","Robo","NO","PALERMO"
"43286","Robo","NO","PALERMO"
"43287","Robo","NO","PALERMO"
"43290","Robo","NO","PALERMO"
"43291","Robo","NO","PALERMO"
"43292","Robo","NO","PALERMO"
"43294","Robo","NO","PALERMO"
"43295","Robo","NO","PALERMO"
"43298","Robo","NO","PALERMO"
"43300","Robo","NO","PALERMO"
"43302","Robo","NO","PALERMO"
"43303","Robo","NO","PALERMO"
"43304","Robo","NO","PALERMO"
"43306","Robo","NO","PALERMO"
"43308","Robo","NO","PALERMO"
"43310","Robo","NO","PALERMO"
"43311","Robo","NO","PALERMO"
"43313","Robo","NO","PALERMO"
"43316","Robo","NO","PALERMO"
"43318","Robo","NO","PALERMO"
"43319","Robo","NO","PALERMO"
"43321","Robo","NO","PALERMO"
"43322","Robo","NO","PALERMO"
"43323","Robo","NO","PALERMO"
"43324","Robo","NO","PALERMO"
"43325","Robo","NO","PALERMO"
"43326","Robo","NO","PALERMO"
"43327","Robo","NO","PALERMO"
"43328","Robo","NO","PALERMO"
"43329","Robo","NO","PALERMO"
"43330","Robo","NO","PALERMO"
"43335","Robo","NO","PALERMO"
"43336","Robo","NO","PALERMO"
"43337","Robo","NO","PALERMO"
"43338","Robo","NO","PALERMO"
"43346","Robo","NO","PALERMO"
"43347","Robo","NO","PALERMO"
"43349","Robo","NO","PALERMO"
"43352","Robo","NO","PALERMO"
"43353","Robo","NO","PALERMO"
"43354","Robo","NO","PALERMO"
"43361","Robo","NO","PALERMO"
"43365","Robo","NO","PALERMO"
"43366","Robo","NO","PALERMO"
"43367","Robo","NO","PALERMO"
"43368","Robo","NO","PALERMO"
"43370","Robo","NO","PALERMO"
"43372","Robo","NO","PALERMO"
"43375","Robo","NO","PALERMO"
"43381","Robo","NO","PALERMO"
"43383","Robo","NO","PALERMO"
"43390","Robo","NO","PALERMO"
"43393","Robo","NO","PALERMO"
"43396","Robo","NO","PALERMO"
"43398","Robo","NO","PALERMO"
"43403","Robo","NO","PALERMO"
"43408","Robo","NO","PALERMO"
"43413","Robo","NO","PALERMO"
"43424","Robo","NO","PALERMO"
"43425","Robo","NO","PALERMO"
