Barrio,Precio
Núñez,626602
Palermo,629241
Belgrano,610074
Parque Chas,616358
Colegiales,598908
Villa Urquiza,605000
Chacarita,599721
Villa Crespo,608251
Recoleta,592899
Saavedra,600322
Coghlan,612886
Almagro,564887
Retiro,550553
Villa Devoto,577607
Villa Ortúzar,570797
Caballito,563003
Parque Chacabuco,540704
Villa Pueyrredón,537137
San Telmo,555807
Monserrat,550473
Boedo,540106
Villa del Parque,543130
Agronomía,542181
Barracas,538983
San Cristóbal,553097
Monte Castro,504738
San Nicolás,511806
Balvanera,524871
Villa Santa Rita,509205
Constitución,508692
Floresta,486183
Mataderos,494843
Parque Patricios,505323
Vélez Sarsfield,500147
La Boca,499264
Parque Avellaneda,492534
Liniers,507451
Villa Lugano,424900
La Paternal, 575713
Flores, 513711
Puerto Madero, 926707
