"Barrio"," Precio"
"Belgrano","460000"
"Núñez","450000"
"Recoleta","450000"
"Palermo","440000"
"Villa Urquiza","430000"
"Retiro","420000"
"Almagro","400000"
"Villa Devoto","400000"
"Saavedra","395000"
"Chacarita","390000"
"Caballito","380000"
"Parque Chas","377000"
"Chacarita","375000"
"San Telmo","370000"
"Villa Crespo","360000"
"Montserrat","360000"
"Parque Chacabuco","360000"
"Floresta","355000"
"Villa del Parque","350000"
"Villa Ortúzar","350000"
"Liniers","350000"
"Balvanera","335000"
"La Boca","335000"
"La Paternal","335000"
"Monte Castro","330000"
"Flores","330000"
"Parque Patricios","320000"
"Boedo","320000"
"Constitución","315000"
"Mataderos","300000"
"Villa Lugano","290000"
"Villa Riachuelo","290000"
